,tweets
0,"@ProFootballTalk honestly, why did we wait until Zika to wage war on mosquitos. I really feel like a mosquito genocide is long overdue."
1,@TheTrueRoyal LMFAO!! Looks like she's trying to swat the Zika mosquitoes away!!#epicfail
2,@samuelhall cover up and use zika spray when you go out!
3,"So Not Only Is Hurricane Matthew Supposed To Kill Everybody, But Its Supposed To Spread Hella Zika As Well. LMFAOOO. Wtf Is Going On.."
4,I was just outside &amp; got bit by like 3 mosquitos and I'm honestly scared I might have Zika now 😅
5,Brazilian Carnival Revellers Defy Warnings To Cover Up Their Bodies To Reduce Spread Of Zika... https://t.co/U8KduTweER
6,The Zika Virus is spreading like Wildfire in the US. We need to protect our unborn Children. Congress pass the Bill @SpeakerRyan
7,"#RollingStones Ronnie Wood's wife, Sally Wood, is leaving Latina Ole Tour to protect from zika virus their upcoming twins. Safe move."
8,What's the point of mosquitos? I mean honestly. Tell me one good thing about them mosquitos? #zika #mosquitos
9,21 mosquito bites from a half hour of sitting on my patio yesterday. I'm honestly surprised I have died of malaria or the zika virus yet.
10,"@followthebounce @waldek79 @Joffersmyboy @carteblanchetv zika repellent gear..honestly,its working great. The colors also r not moz favorite"
11,Please do not forget that Zika is sexually transmitted. Some doctors will say it stays in your system for up to 8 months or so.
12,@SmawtAss blow up as in swell or temper? I honestly don't remember the last time I was bitten by a mosquito. That Zika virus the latest?
13,"Have you traveled to a country that has #ZikaVirus? If so, learn how to protect you &amp; your partner upon your return https://t.co/MAQzu6zZir"
14,Q7: What are different methods we can all use to protect ourselves and our families from Zika? #StopZika
15,"@KushalpalsSingh Ebola,zika,cancer&amp;braindead se bachav hetu herble medicine ke reserch project ke liye 11cr chahiye.R U help us?8604992545"
16,#staysafe #beprotected #ZikaVirus @Sunsect15 is the #best #repellent you will ever use and its also a #sunscreen!   https://t.co/Um8cTyS7D1
17,Lmfao so they got mosquitos givin niggas The Zika vaccine? They tryna kill us all https://t.co/2F2ay9gYP2
18,"imma be 100% honest, I think I was bitten by a mosquito carrying zika"
19,when u go to the HIGHEST bidder u pay with less $ for water and ending zika as it spreads &amp;* u r sending the BESTtoo https://t.co/2B9A6sC5EA
20,Find out how to protect yourself and your unborn baby from Zika - Learn more here: https://t.co/81p26RAwpg
21,Honestly I'm more more scared of the effect all this Zika spraying is having on bees than I am about a Trump presidency..
22,So upsetting! How did they get away with doing this!!!🐝 Millions of bees dead after U.S. county releases Zika spray https://t.co/Ux4Wb874kT
23,@LarryMBurns Plus the pesticide companies will make a fortune spraying toxic chemicals over us because of Zika.  @HouseGOP
24,CDC cautions women who have sex with women to obstain from sex or use protection when they are infected with #Zika https://t.co/Q3LZO3teDT
25,"@statnews @neil_bodie I would say three months after a bite. For dengue, up to 77d in vitro (1959). Be careful over unsure. #ZikaVirus"
26,#Health #Ayurveda : Protect your Unborn Baby from threatening Zika Virus: There are many diseases and malfunc... https://t.co/RhTegihUvb
