,tweets
55,See what our Medical Director Dr Graham Fry has to say about the #ZikaVirus in this playlist - https://t.co/frafeuaZyV #Zika #tbex
56,if we are worried about zika Then we kill all mosquitos they literally do nothing for the environment And just dragonfly's would die off
57,EBR mosquito abatement responds to Zika virus fears... https://t.co/TNN4OGjBYp
58,"Bats are very important @HowardStern  they eat Mosquitos,, zika !!!!  https://t.co/3Uki35ia9k"
59,"'Zika epidemic to last another three years as 'too late' to control it, say researchers,' reports the Telegraph... https://t.co/eczQB6Fzcm"
60,On the D train staring at sign that says 'the Zika Virus Fight Back NYC' as a fucking mosquito flies around me. I'm trapped!
61,"IRONY - US Gov't pouring $Bs in2 Zika 2 mayb protect babies from microcephaly; mandates vaccines 4 them at birth, known 2 cause brain damage"
62,4 Zika cases from domestic mosquitos and the @GOP still plays games with Zika funding and won't give @POTUS the $ he needs to fight it.
63,DDT why are we neglecting something that protects us from infected mosquitos like malaria zika west nile  etc. #DDT #Zika @GOP
64,Men can help protect their families and future from Zika: As director of the Centers for Disease Control and ... https://t.co/t38iUnbH6a
65,Spending time outside? Check out ways to protect yourself from mosquitos. #Zika #ZikaVirus https://t.co/vr3PfJ1NjZ https://t.co/E5jdPSIakz
66,To the athletes who didn't travel to Rio due to the Zika virus..yall some bums. I didn't see a single mosquito.
67,Tips on using mosquito repellent to protect yourself from Zika https://t.co/lp20EdZsg2 https://t.co/jA4EJNXNZu
68,@arnicas I've been taking these mosquito range maps pretty seriously https://t.co/qFI8uEJJ6B
69,ZIKA Virus Notice: Call Jax Pest Control at 904-289-2800 to reduce the mosquito population near your house  https://t.co/08jRw6i4Or
70,The Zika ‘crisis’: Another result of DDT ban https://t.co/3dtioJORV0 via @worldnetdaily. Maybe it's not just mosquitos
71,Texas health officials say they are ready if Zika hits. https://t.co/4D92uhj9w8
72,"Tiny but Dangerous: The Mosquitoes Spreading Zika  They’re tiny. They attack with supreme stealth, biting in full d… https://t.co/13sxSUlX2T"
73,Is #Zika spraying in #Miami worse than Its #infection?pesticides linked 2 #Cancers &amp; all types of harmful illnesses https://t.co/u9wvgcltBB
74,It is easier to try than to prove that it can't be done. Come together and pray down the Zika Virus. Just another part of Nature.
75,Of course the government is to be blamed for mosquitoes and zika.. it must be a conspiracy.. #eyesroll
76,@NIZUC_Resort Thank you for doing your part to reduce the spread of the Zika virus! My patients and I thank you! https://t.co/fmmsyE1iFz
77,"Active #ZikaVirus found in saliva, urine; does it spread that way? (@AP story) https://t.co/QY1yFQf9RV"
78,"Watch this video to know how to protect yourself, your family, &amp; your community from #Zika. https://t.co/Y2Ekt96pRz #AllHealth #ZikaVirus"
79,Catholicism [NOT homosexuality] will be the biggest promoter of the spread of the Zika virus [as it was with AIDS]: https://t.co/CXzX9ax5vO
80,"@SenSanders..  Who's idea was it to spray everything with poison (to fight Zika, a virus spread thru human contact) person to person!?"
81,So the company that released the female GM Zika Virus mosquitoes are fighting them with: you got it more infected mosquitoes...genius...
82,@BeeKnotEwe Woman owned business pioneers novel #zika protection. You can invest for $100. https://t.co/aOZgAtLqjb
83,Can we just CRISPR the hell out of Aedes mosquitoes &amp; say goodbye to #Zika &amp; dengue? @sxbegle explores for @statnews https://t.co/TVbY9u44PX
84,"Usain Bolt said he’s not bothered, because mosquitoes “can’t catch me.” https://t.co/ULfseMhPer #news #feedly"
85,Making sure the mosquitos who pass the virus aren't #LGBT? They can't sit on this like they did on aids! #ZikaVirus https://t.co/6fAvOdwxqh
86,"The government's refusal to show what the #Zika mosquito looks like,prompted me to do my own… https://t.co/Bng3Z562HC"
87,Scientists discover mosquitoes can pass Zika to their offspring - making virus even harder… https://t.co/dAPdiDvc6R
88,How do we improve mosquito control to prevent #Zika? @DukeU students reg to compete #DukeZika Innovation Challenge! https://t.co/WPidKsxvRp
89,‘Like it’s been nuked’: Millions of bees dead after state sprays for Zika mosquitoes https://t.co/FpjVx3KvBj
90,Dem FL Rep Castor on Zika: It is irresponsible for the GOP to say here we're going to pass a half measure..We're going to take our time
91,Spring and summer are almost here! Lower your risk of mosquito-borne illnesses. https://t.co/rQXqIkwnRg
92,Bugs can spread diseases like #Zika &amp; #Lyme disease. Reduce your risk: wear insect repellant &amp; cover exposed skin. https://t.co/87mtBfoUD4
93,Zika case numbers and how to prevent the spread of Zika after your trip - KTAL: KTAL Zika case numbers…… https://t.co/wh82B1meIX
94,Suspending a chicken over your bed could protect against Zika virus and malaria https://t.co/lJ9OEpAaqQ via @TelegraphSci
95,UPDATE: #Zika travel notice now posted for #Singapore. Learn how to protect yourself and others: https://t.co/qTT8aYLQ9a
96,"ATTENTION: To protect the blood supply, the American Red Cross is closely monitoring Zika virus. If you have ... https://t.co/yk6kiR5ATi"
97,"Weather is warming, spring &amp; #mosquitos are around the corner. Do you have Q's about #Zika? #AIBS program has A's  https://t.co/DYzzkozaxi"
98,Mosquito Expert on Zika Virus: ‘I Am Confident We Will See Transmission This Summer’ https://t.co/iGad4QGTxk
99,The ministry of health is urging  citizens to reduce mosquito breeding sites in their homes and communities #ZIKV https://t.co/Pzt2spHi6y
